company_name,job_details,location,job_profile
Accenture,Data Science Specialist,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Product management Change management Consulting Machine learning Python data science process change
Okda Solutions,Data Scientist - R/Python,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR", Python data framework library modeling data modeling ml java
Fractal Analytics,Data Scientist_NLP,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru", management team statistics project management analytics team management relationship management relationship
Deloitte,Permanent Opportunity For Data scientist with AWS,"Hybrid - Chennai, Coimbatore, Bangalore/Bengaluru, Hyderabad", data aws cloud science aws cloud data science
Accenture,Data Science Analyst,Bangalore/Bengaluru, Data Science Predictive Modeling Artificial Intelligence analysis machine learning data analysis data mining machine
Persistent,Machine Learning (AI) Architect,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", time analysis machine intelligence employee engagement data structures artificial intelligence networking
Accenture,Team Lead/Consultant-Marketing and Customer Analytics,Mumbai, Data Science Customer Analytics Marketing Analytics team leading google analytics google data languages
Trigent Software,Data Scientist- Bangalore,Bangalore/Bengaluru, Data Science NLP Python machine learning process data deep learning natural language processing
IBM,Data Scientist,Bangalore/Bengaluru, Java Go Node.js data science Python data modeling development information technology
Accenture,Data Science Analyst - Data Science,Bangalore/Bengaluru, Data Science Machine learning Predictive modeling Data mining Analytics modeling data analysis science
Accenture,Data Science Analyst Data Science,Bangalore/Bengaluru, Data Science Predictive Modeling analysis machine learning data analysis data mining machine data
Accenture,Analytics Specialist - Artificial Intelligence Innovation,Bangalore/Bengaluru, Data Science Artificial Intelligence languages natural language processing analytics data processing process
Walmart,Senior Data Scientist,Bangalore/Bengaluru, analytics data analysis machine data senior monitoring supply chain coding
Accenture,Analytics Senior Analyst - Artificial Intelligence Innovation,Bangalore/Bengaluru, Data Science Artificial Intelligence senior process machine learning python intelligence data
Accenture,Analytics Analyst - Artificial Intelligence Innovation,Bangalore/Bengaluru, NLP data science Artificial Intelligence machine learning process python intelligence data
Accenture,Research Specialist,Bangalore/Bengaluru, Business research Machine learning Python text analytics analytics business analytics data science economic research
Walmart,Data Scientist,Bangalore/Bengaluru, analytics data analysis data information technology pharmacy business solutions monitoring coding
Blob Infotech,"Data Scientist, Engineering at Google","Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru", R Python SQL matlab julia google pandas engineering
Siemens,Data Scientist - Graph Analytics,Pune, data mining analytics data graph scala data analytics schema agile
IBM,Client Engineering - Data Scientist,Mumbai, deep learning data science Machine learning NumPy Python client r nosql
Citicorp Finance,Data Scientist,"Goregaon, Mumbai (All Areas)", data science Credit Risk Deep Learning process analytics modeling data analytics science
Tavant Technologies,Opportunity | Data Scientist | Tavant India,"Noida, Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru", python machine learning aws machine data
Accolite Software India Pvt Ltd,Sr. Data Scientist,"Hyderabad/Secunderabad, Bangalore/Bengaluru", machine research analytics business rules sql data machine learning python
Tata Nexarc,Data Scientist,"Mumbai, Pune", data mining data data science data visualization intelligence sql analytical business intelligence
Fiserv,Data Scientist,"Thane, Navi Mumbai, Mumbai (All Areas)", Data Science Predictive Modeling python credit risk financial modelling science intelligence statistics
Accenture,Team Lead/Consultant-Data Science,Mumbai, Publishing Consulting Data mining Analytics SQL machine data predictive modeling
IBM,Senior Data Scientist,Bangalore/Bengaluru, data science Machine learning Big Data SQL Python r spark senior
IBM,Data Scientist,Bangalore/Bengaluru, Architecture Business analysis Information security Deployment Open source data validation open model validation
Genpact,Lead Data Scientist,Bangalore/Bengaluru, Machine Learning Statistics Python SQL data process processing languages
IBM,Senior Advisory Data Scientist,Bangalore/Bengaluru, Supply chain Analytical Open source SQL Python analytics data senior
IBM,Senior Data Scientist,Bangalore/Bengaluru, deep learning Analytical Machine learning SQL Python machine source data
IBM,Advisory Data Scientist,Bangalore/Bengaluru, data science Machine learning Spark big data SQL deep learning python reliability engineering
IBM,Senior Advisory Data Scientist,Bangalore/Bengaluru, reliability engineering machine learning SQL Python engineering machine data data science
IBM,Advisory Data Scientist,Bangalore/Bengaluru, data science reliability engineering machine learning SQL Python spark pytorch algorithms
Capgemini,Data Scientist,Bangalore/Bengaluru, data science sas pandas machine mapreduce tableau matlab vision
Juniper Networks,Data Scientist Staff,Bangalore/Bengaluru, management data mining supply chain analytics business intelligence supply sql analytical
Schneider Electric,FTE - Regional BI - Data Scientist,Bangalore/Bengaluru, warehouse neural networks sql big data computer data sap oracle
Ethnotech Academy,MACHINE LEARNING / DATA SCIENCE TRAINER,Bangalore/Bengaluru, subject coding machine tableau analytics data science machine learning
NCR Corporation,Data Scientist (HR),"Mumbai, New Delhi, Hyderabad/Secunderabad", python data science business intelligence intelligence machine recruitment analytics data
Sony Corporation Of America,Deep Learning Engineer (SIPS-PS),Bangalore/Bengaluru, technology management engineering data quality python technology computer management data
